log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,재무/기획팀,user_b07_finplan_23,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o,892,780,1672,3.85,2026-08-14 14:06:00
2,마케팅팀,user_b07_mkt_20,로그 조회 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,660,1305,1965,1.12,2026-09-16 17:47:00
3,고객지원팀,user_b07_cs_12,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 샘플 문의 연락처 010-1234-0000을 포함해줘",gpt-4o-mini,1278,536,1814,0.71,2026-08-19 15:00:00
4,마케팅팀,user_b07_mkt_25,팀 내 공유용으로 SNS 콘텐츠 관련 아이디어를 10개 제안해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o,378,417,795,1.94,2026-06-28 14:12:00
5,마케팅팀,user_b07_mkt_25,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4.1-mini,975,653,1628,0.93,2026-05-21 11:45:00
6,재무/기획팀,user_b07_finplan_24,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,894,691,1585,0.73,2026-05-25 15:35:00
7,고객지원팀,user_b07_cs_02,고객지원팀에서 공유할 고객 불만 응대 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4o-mini,618,708,1326,0.67,2026-06-15 12:48:00
8,개발팀,user_b07_dev_14,알림 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘,gpt-4.1-mini,1068,1381,2449,1.64,2026-01-23 10:37:00
9,개발팀,user_b07_dev_06,브랜드 검색량 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o,751,643,1394,3.19,2026-03-25 15:19:00
10,고객지원팀,user_b07_cs_09,이번 달 상담 스크립트 성과를 경영진 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,716,1070,1786,0.96,2026-03-29 16:14:00
11,인사팀,user_b07_hr_13,온보딩를 사용할 때 주의할 점을 알려줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,224,446,670,0.38,2026-02-28 13:18:00
12,재무/기획팀,user_b07_finplan_26,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,669,577,1246,0.59,2026-09-18 10:00:00
13,영업팀,user_b07_sales_04,전환율 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4.1-mini,578,798,1376,0.93,2026-04-02 09:23:00
14,고객지원팀,user_b07_cs_03,테스트고객C 고객의 배송 지연 문의에 대해 정중한 답변을 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o,274,326,600,1.49,2026-02-12 10:20:00
15,재무/기획팀,user_b07_finplan_09,경쟁사 분석의 개념을 비전공자도 이해할 수 있게 설명해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,297,417,714,0.38,2026-08-17 10:02:00
16,영업팀,user_b07_sales_08,지난달 리드 육성 성과를 임원 보고용 보고서 형식으로 정리해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o,614,861,1475,3.8,2026-01-10 09:06:00
17,인사팀,user_b07_hr_04,사내 교육 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,1072,805,1877,0.86,2026-05-18 10:25:00
18,영업팀,user_b07_sales_10,SQLAlchemy에서 마스킹 기능을 구현하는 예시 코드를 작성해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4.1-mini,1024,1135,2159,1.39,2026-07-08 13:12:00
19,재무/기획팀,user_b07_finplan_04,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,265,658,923,0.55,2026-04-15 12:31:00
20,영업팀,user_b07_sales_06,"영업 파이프라인 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘",gpt-4.1-mini,636,1069,1705,1.21,2026-08-01 15:06:00
21,인사팀,user_b07_hr_05,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,996,405,1401,0.55,2026-02-17 12:37:00
22,마케팅팀,user_b07_mkt_08,"테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,367,417,784,0.4,2026-03-21 13:41:00
23,고객지원팀,user_b07_cs_13,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4.1-mini,970,372,1342,0.66,2026-08-05 16:08:00
24,고객지원팀,user_b07_cs_05,재문의율 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,444,1300,1744,1.06,2026-05-18 15:27:00
25,재무/기획팀,user_b07_finplan_06,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o,714,374,1088,2.2,2026-08-30 15:01:00
26,재무/기획팀,user_b07_finplan_11,경쟁사 분석 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o,1279,764,2043,4.27,2026-03-19 09:50:00
27,인사팀,user_b07_hr_10,인사팀에서 공유할 면접 피드백 결과 보고서를 1페이지 분량으로 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,538,1039,1577,0.89,2026-02-27 14:17:00
28,재무/기획팀,user_b07_finplan_24,투자 우선순위 성과 데이터를 표로 요약하고 해석해줘,gpt-4o-mini,670,1108,1778,0.98,2026-06-18 17:42:00
29,인사팀,user_b07_hr_03,조직문화 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o-mini,1117,770,1887,0.84,2026-03-07 14:56:00
30,고객지원팀,user_b07_cs_16,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,622,422,1044,0.46,2026-06-15 13:03:00
31,개발팀,user_b07_dev_01,Azure OpenAI를 사용할 때 주의할 점을 알려줘,gpt-4o-mini,218,324,542,0.29,2026-07-19 09:57:00
32,인사팀,user_b07_hr_20,성과 리뷰 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,328,1057,1385,0.85,2026-06-07 11:04:00
33,고객지원팀,user_b07_cs_14,고객 불만 응대 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1-mini,1098,663,1761,0.98,2026-05-23 17:56:00
34,고객지원팀,user_b07_cs_16,"상담 스크립트 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,761,1166,1927,1.04,2026-08-28 13:00:00
35,영업팀,user_b07_sales_04,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,1199,688,1887,0.8,2026-08-19 14:20:00
36,개발팀,user_b07_dev_05,2분기 Azure OpenAI 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,464,1228,1692,1.01,2026-08-18 15:04:00
37,영업팀,user_b07_sales_03,팀 내 공유용으로 대형 고객 제안 관련 아이디어를 10개 제안해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,172,323,495,0.28,2026-01-28 15:15:00
38,인사팀,user_b07_hr_03,분류 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4.1-mini,529,1197,1726,1.29,2026-08-26 15:55:00
39,영업팀,user_b07_sales_09,2분기 견적 안내 성과를 본부장 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,628,751,1379,0.7,2026-06-04 13:07:00
40,고객지원팀,user_b07_cs_01,비용 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4.1-mini,801,540,1341,0.76,2026-09-04 16:45:00
