log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,인사팀,user_b03_hr_07,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘",gpt-4.1-mini,987,624,1611,0.9,2026-09-01 12:40:00
2,고객지원팀,user_b03_cs_17,"테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o-mini,483,581,1064,0.54,2026-06-24 10:02:00
3,고객지원팀,user_b03_cs_21,비용 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,553,649,1202,0.61,2026-07-09 10:28:00
4,고객지원팀,user_b03_cs_03,"이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4.1-mini,991,819,1810,1.09,2026-04-18 09:41:00
5,고객지원팀,user_b03_cs_15,샘플고객B에게 보낼 후속 안내 메일을 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,317,497,814,0.44,2026-01-20 14:25:00
6,고객지원팀,user_b03_cs_20,재문의율 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4.1-mini,522,1014,1536,1.12,2026-06-29 14:12:00
7,인사팀,user_b03_hr_17,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,842,749,1591,0.76,2026-06-01 09:50:00
8,영업팀,user_b03_sales_16,환불 요청 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4o-mini,488,310,798,0.35,2026-01-08 12:03:00
9,영업팀,user_b03_sales_04,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 참고용 가짜 이메일: demo.user@example.invalid",gpt-4o-mini,1197,427,1624,0.61,2026-05-07 16:46:00
10,개발팀,user_b03_dev_24,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4.1-mini,1355,480,1835,0.89,2026-07-03 13:45:00
11,고객지원팀,user_b03_cs_24,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,355,520,875,0.47,2026-01-12 17:40:00
12,인사팀,user_b03_hr_04,파일럿 고객에게 보낼 후속 안내 메일을 작성해줘,gpt-4.1,386,623,1009,3.23,2026-06-12 10:10:00
13,영업팀,user_b03_sales_24,가상 구독 상품 사용자에게 보낼 후속 안내 메일을 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,417,630,1047,0.56,2026-08-20 09:48:00
14,마케팅팀,user_b03_mkt_19,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,1272,780,2052,0.89,2026-01-10 10:12:00
15,고객지원팀,user_b03_cs_12,Python에서 점수 계산 기능을 구현하는 예시 코드를 작성해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4.1-mini,1096,777,1873,1.08,2026-06-30 13:24:00
16,개발팀,user_b03_dev_26,"SQLAlchemy의 개념을 비전공자도 이해할 수 있게 설명해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o-mini,276,224,500,0.23,2026-05-05 09:53:00
17,영업팀,user_b03_sales_16,샘플고객B에게 보낼 후속 안내 메일을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,509,449,958,0.46,2026-05-28 13:07:00
18,개발팀,user_b03_dev_31,계정 접근 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4o-mini,323,673,996,0.57,2026-04-07 17:31:00
19,영업팀,user_b03_sales_11,리드 전환의 개념을 비전공자도 이해할 수 있게 설명해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4.1-mini,374,504,878,0.59,2026-06-06 14:28:00
20,인사팀,user_b03_hr_09,이번 달 교육 만족도 성과를 실무자 공유용 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,738,918,1656,1.1,2026-08-03 12:43:00
21,재무/기획팀,user_b03_finplan_10,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,345,540,885,0.62,2026-03-14 10:45:00
22,영업팀,user_b03_sales_02,GitHub Actions에서 사용량 통계 기능을 구현하는 예시 코드를 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,619,1006,1625,0.89,2026-01-15 10:34:00
23,재무/기획팀,user_b03_finplan_30,"파일럿 고객에게 보낼 후속 안내 메일을 작성해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o,439,462,901,2.17,2026-04-23 09:35:00
24,영업팀,user_b03_sales_02,리드 육성 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,384,742,1126,0.64,2026-06-29 09:33:00
25,고객지원팀,user_b03_cs_02,Node.js를 사용할 때 주의할 점을 알려줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o,184,312,496,1.33,2026-06-09 10:00:00
26,마케팅팀,user_b03_mkt_14,시장 조사 용어의 의미와 예시를 간단히 정리해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,99,350,449,1.36,2026-08-03 17:12:00
27,마케팅팀,user_b03_mkt_15,테스트용으로 사용량 통계 모듈의 단위 테스트 코드를 만들어줘,gpt-4o-mini,759,1145,1904,1.02,2026-02-14 11:59:00
28,인사팀,user_b03_hr_01,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,752,488,1240,0.54,2026-07-01 10:35:00
29,고객지원팀,user_b03_cs_07,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,943,568,1511,0.65,2026-03-21 17:26:00
30,개발팀,user_b03_dev_15,SQLAlchemy 성과 데이터를 표로 요약하고 해석해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4.1-mini,823,935,1758,1.14,2026-07-06 11:32:00
31,고객지원팀,user_b03_cs_17,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘,gpt-4o-mini,631,503,1134,0.53,2026-09-22 09:17:00
32,개발팀,user_b03_dev_09,파일럿 고객 고객의 계정 접근 문의에 대해 정중한 답변을 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,367,703,1070,0.6,2026-09-15 14:48:00
33,개발팀,user_b03_dev_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o,943,350,1293,2.39,2026-05-04 12:18:00
34,개발팀,user_b03_dev_28,샘플고객B 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘,gpt-4o-mini,377,548,925,0.49,2026-08-24 12:36:00
35,개발팀,user_b03_dev_03,"Blob Storage 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o,757,803,1560,3.77,2026-07-31 13:57:00
36,마케팅팀,user_b03_mkt_24,"서비스 해지 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4o-mini,386,404,790,0.39,2026-05-08 10:21:00
37,고객지원팀,user_b03_cs_20,샘플고객B 고객의 배송 지연 문의에 대해 정중한 답변을 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,502,489,991,0.48,2026-07-15 12:16:00
38,재무/기획팀,user_b03_finplan_21,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,799,556,1355,0.61,2026-02-10 17:36:00
39,마케팅팀,user_b03_mkt_19,브랜드 검색량 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,727,1145,1872,1.02,2026-02-14 17:44:00
40,고객지원팀,user_b03_cs_19,가상 구독 상품 사용자 고객의 계정 접근 문의에 대해 정중한 답변을 작성해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,546,554,1100,0.54,2026-01-29 09:57:00
41,고객지원팀,user_b03_cs_05,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,872,483,1355,0.57,2026-06-08 13:46:00
42,마케팅팀,user_b03_mkt_28,테스트고객C 고객의 배송 지연 문의에 대해 정중한 답변을 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,284,530,814,0.46,2026-06-05 14:54:00
43,고객지원팀,user_b03_cs_01,"상담 스크립트 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,739,675,1414,0.68,2026-02-09 13:14:00
44,영업팀,user_b03_sales_15,견적 안내의 개념을 비전공자도 이해할 수 있게 설명해줘,gpt-4o-mini,269,353,622,0.32,2026-07-05 14:36:00
45,개발팀,user_b03_dev_14,"Azure OpenAI 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 가상고객A와 가상고객B 사례를 포함해줘",gpt-4.1-mini,760,1222,1982,1.39,2026-05-31 10:56:00
46,영업팀,user_b03_sales_10,영업팀에서 공유할 제안서 결과 보고서를 1페이지 분량으로 작성해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,721,832,1553,0.79,2026-01-16 13:13:00
47,영업팀,user_b03_sales_19,도달률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,853,1115,1968,1.03,2026-06-12 13:46:00
48,고객지원팀,user_b03_cs_11,"테스트용으로 CSV 업로드 모듈의 단위 테스트 코드를 만들어줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4.1-mini,671,996,1667,1.15,2026-09-27 15:35:00
49,인사팀,user_b03_hr_19,로그 조회 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4.1,835,1245,2080,6.54,2026-02-16 16:23:00
50,개발팀,user_b03_dev_26,"FastAPI를 사용할 때 주의할 점을 알려줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,322,460,782,0.42,2026-04-15 14:54:00
51,인사팀,user_b03_hr_16,교육 만족도 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o-mini,1014,409,1423,0.55,2026-07-14 12:29:00
52,인사팀,user_b03_hr_06,파일럿 고객 고객의 환불 요청 문의에 대해 정중한 답변을 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,387,730,1117,0.81,2026-04-17 15:41:00
53,영업팀,user_b03_sales_17,리드 전환 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,561,759,1320,0.69,2026-06-02 16:27:00
54,인사팀,user_b03_hr_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,791,810,1601,0.79,2026-01-31 11:30:00
55,마케팅팀,user_b03_mkt_03,전환율와 Azure OpenAI의 차이를 비교해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,107,361,468,0.29,2026-01-31 12:36:00
56,인사팀,user_b03_hr_18,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4.1,814,559,1373,3.59,2026-08-08 10:23:00
57,재무/기획팀,user_b03_finplan_08,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,770,803,1573,0.78,2026-05-11 11:32:00
58,고객지원팀,user_b03_cs_01,결제 오류 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,539,370,909,0.41,2026-02-01 14:27:00
59,인사팀,user_b03_hr_04,파일럿 고객 고객의 계정 접근 문의에 대해 정중한 답변을 작성해줘,gpt-4o-mini,590,693,1283,0.65,2026-06-16 15:38:00
60,재무/기획팀,user_b03_finplan_10,매출과 비용 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o-mini,1191,766,1957,0.86,2026-02-23 16:03:00
61,재무/기획팀,user_b03_finplan_32,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,573,993,1566,0.87,2026-03-13 15:16:00
62,재무/기획팀,user_b03_finplan_30,지난달 MAU 성과를 임원 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,579,1025,1604,0.89,2026-09-16 15:54:00
63,개발팀,user_b03_dev_01,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,944,774,1718,0.8,2026-01-14 13:52:00
64,개발팀,user_b03_dev_20,대시보드 API 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,701,659,1360,0.66,2026-08-17 11:46:00
65,인사팀,user_b03_hr_07,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,507,371,878,0.4,2026-02-01 17:02:00
66,마케팅팀,user_b03_mkt_14,PostgreSQL 용어의 의미와 예시를 간단히 정리해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4.1-mini,146,460,606,0.48,2026-06-04 12:52:00
67,마케팅팀,user_b03_mkt_01,2분기 고객 세그먼트 성과를 본부장 보고용 보고서 형식으로 정리해줘,gpt-4o,457,712,1169,3.08,2026-01-02 13:19:00
68,영업팀,user_b03_sales_03,서비스 해지 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4.1-mini,341,396,737,0.48,2026-02-12 16:17:00
69,인사팀,user_b03_hr_13,사용량 통계 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘,gpt-4o-mini,568,1150,1718,0.98,2026-08-08 13:17:00
70,영업팀,user_b03_sales_16,견적 안내 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,1190,791,1981,0.88,2026-07-03 10:40:00
71,영업팀,user_b03_sales_05,매출 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o-mini,1272,434,1706,0.64,2026-03-11 11:22:00
72,재무/기획팀,user_b03_finplan_08,매출과 비용 성과 데이터를 표로 요약하고 해석해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4.1-mini,926,1065,1991,1.3,2026-04-18 17:23:00
73,개발팀,user_b03_dev_29,"기능 사용률 지표를 기준으로 다음 달 예상 리스크를 설명해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o,664,655,1319,3.13,2026-06-21 13:29:00
74,영업팀,user_b03_sales_15,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: 500 Internal Server Error,gpt-4.1-mini,499,1293,1792,1.37,2026-03-01 09:34:00
75,영업팀,user_b03_sales_03,CSV 업로드 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o,1026,1077,2103,5.06,2026-01-13 10:38:00
76,고객지원팀,user_b03_cs_18,팀 내 공유용으로 구독 상품 관련 아이디어를 10개 제안해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,298,233,531,0.24,2026-09-18 13:00:00
77,개발팀,user_b03_dev_17,"대시보드 API 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 문의 연락처 010-1234-0000을 포함해줘",gpt-4.1-mini,404,919,1323,0.99,2026-02-14 16:16:00
78,마케팅팀,user_b03_mkt_09,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,818,368,1186,0.47,2026-02-20 17:40:00
79,개발팀,user_b03_dev_24,상반기 대시보드 API 성과를 주간 회의용 보고용 보고서 형식으로 정리해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o,769,1020,1789,4.55,2026-05-04 17:42:00
80,재무/기획팀,user_b03_finplan_02,"상반기 기능 채택률 성과를 임원 보고용 보고서 형식으로 정리해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,572,946,1518,0.83,2026-09-07 15:44:00
81,재무/기획팀,user_b03_finplan_08,데이터 누락 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,282,428,710,0.38,2026-07-29 11:31:00
82,마케팅팀,user_b03_mkt_19,"마케팅팀에서 공유할 브랜드 검색량 결과 보고서를 1페이지 분량으로 작성해줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4o-mini,762,1101,1863,0.99,2026-03-02 16:54:00
83,인사팀,user_b03_hr_14,조직문화 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,318,364,682,0.35,2026-01-04 11:56:00
