log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,재무/기획팀,user_b04_finplan_34,최근 4주 서비스 로드맵 성과를 경영진 보고용 보고서 형식으로 정리해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,813,1034,1847,0.96,2026-06-09 12:38:00
2,영업팀,user_b04_sales_12,고객 미팅 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o-mini,829,633,1462,0.67,2026-03-13 13:02:00
3,인사팀,user_b04_hr_20,이번 달 입사 초기 이탈률 성과를 임원 보고용 보고서 형식으로 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,718,1074,1792,0.96,2026-07-22 15:55:00
4,재무/기획팀,user_b04_finplan_02,사용자 증가율 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4.1-mini,403,937,1340,1.01,2026-04-05 12:12:00
5,고객지원팀,user_b04_cs_07,"파일럿 고객 고객의 구독 플랜 변경 문의에 대해 정중한 답변을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,259,383,642,0.34,2026-09-30 17:12:00
6,영업팀,user_b04_sales_24,제안서 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,577,812,1389,0.74,2026-08-07 10:08:00
7,영업팀,user_b04_sales_08,브랜드 검색량 지표를 기준으로 다음 달 예상 리스크를 설명해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,739,467,1206,0.53,2026-06-08 17:15:00
8,영업팀,user_b04_sales_15,상반기 계약 성공률 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,693,998,1691,1.16,2026-02-24 15:17:00
9,영업팀,user_b04_sales_09,팀 내 공유용으로 분기 영업 전략 관련 아이디어를 10개 제안해줘,gpt-4o-mini,241,252,493,0.24,2026-04-22 12:27:00
10,마케팅팀,user_b04_mkt_02,마케팅팀에서 공유할 전환율 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4o,341,969,1310,3.84,2026-04-13 16:34:00
11,영업팀,user_b04_sales_32,테스트용으로 분류 모듈의 단위 테스트 코드를 만들어줘,gpt-4o-mini,612,1362,1974,1.15,2026-04-05 10:13:00
12,마케팅팀,user_b04_mkt_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o,1078,797,1875,4.14,2026-03-30 11:21:00
13,인사팀,user_b04_hr_13,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,913,1049,1962,1.28,2026-01-30 15:25:00
14,개발팀,user_b04_dev_03,"Azure OpenAI 용어의 의미와 예시를 간단히 정리해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,165,433,598,0.36,2026-06-19 10:06:00
15,인사팀,user_b04_hr_08,성과 리뷰 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o,338,871,1209,3.49,2026-07-21 17:54:00
16,마케팅팀,user_b04_mkt_29,전환율 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,1015,523,1538,0.82,2026-06-19 11:11:00
17,인사팀,user_b04_hr_06,지원자 수 성과 데이터를 표로 요약하고 해석해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4o-mini,988,955,1943,0.94,2026-04-15 15:26:00
18,인사팀,user_b04_hr_02,"PostgreSQL에서 CSV 업로드 기능을 구현하는 예시 코드를 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o-mini,1001,797,1798,0.83,2026-03-03 11:00:00
19,영업팀,user_b04_sales_15,비용 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,850,902,1752,0.87,2026-04-08 11:54:00
20,인사팀,user_b04_hr_16,테스트용으로 추천 후보 모듈의 단위 테스트 코드를 만들어줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4.1-mini,1086,1400,2486,1.66,2026-07-30 11:28:00
21,고객지원팀,user_b04_cs_06,"고객 불만 응대 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,452,1133,1585,0.94,2026-05-05 17:57:00
22,인사팀,user_b04_hr_04,도달률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4.1-mini,670,804,1474,0.97,2026-05-03 12:32:00
23,고객지원팀,user_b04_cs_09,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,1000,512,1512,0.62,2026-09-08 11:08:00
24,개발팀,user_b04_dev_35,"Node.js에서 분류 기능을 구현하는 예시 코드를 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4.1-mini,660,1240,1900,1.37,2026-08-26 11:30:00
25,고객지원팀,user_b04_cs_07,고객 불만 응대 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,950,357,1307,0.5,2026-03-25 17:53:00
26,영업팀,user_b04_sales_16,"Python에서 파일 검증 기능을 구현하는 예시 코드를 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,496,1222,1718,1.01,2026-07-21 14:43:00
27,인사팀,user_b04_hr_18,HR 리더십 성과 데이터를 표로 요약하고 해석해줘,gpt-4o-mini,532,1017,1549,0.87,2026-01-12 10:48:00
28,고객지원팀,user_b04_cs_09,"대시보드 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4.1-mini,459,920,1379,1.01,2026-01-04 10:36:00
29,마케팅팀,user_b04_mkt_12,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘",gpt-4.1-mini,699,686,1385,0.87,2026-06-24 13:57:00
30,영업팀,user_b04_sales_27,SQLAlchemy에서 마스킹 기능을 구현하는 예시 코드를 작성해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o-mini,719,715,1434,0.7,2026-05-01 11:31:00
31,재무/기획팀,user_b04_finplan_33,비용 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o-mini,865,541,1406,0.61,2026-08-25 17:34:00
32,개발팀,user_b04_dev_21,Blob Storage 성과 데이터를 표로 요약하고 해석해줘,gpt-4o,986,714,1700,3.73,2026-08-13 15:46:00
33,재무/기획팀,user_b04_finplan_09,"React에서 추천 후보 기능을 구현하는 예시 코드를 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,855,706,1561,0.94,2026-01-07 09:50:00
34,영업팀,user_b04_sales_29,Node.js에서 사용량 통계 기능을 구현하는 예시 코드를 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,547,799,1346,0.72,2026-01-17 11:50:00
35,인사팀,user_b04_hr_10,"계정 접근 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4.1-mini,585,697,1282,0.84,2026-05-27 17:24:00
36,영업팀,user_b04_sales_08,"매출 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘",gpt-4o,325,1260,1585,4.85,2026-04-17 15:05:00
37,인사팀,user_b04_hr_05,테스트고객C에게 보낼 후속 안내 메일을 작성해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4.1,450,665,1115,3.5,2026-01-29 09:31:00
38,재무/기획팀,user_b04_finplan_33,"이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o-mini,810,910,1720,0.87,2026-01-12 09:07:00
39,마케팅팀,user_b04_mkt_10,"이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o-mini,524,1038,1562,0.89,2026-05-26 15:09:00
40,고객지원팀,user_b04_cs_02,비용 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o,929,788,1717,3.92,2026-06-14 09:38:00
41,재무/기획팀,user_b04_finplan_30,이번 주 투자 우선순위 성과를 임원 보고용 보고서 형식으로 정리해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,834,665,1499,0.89,2026-09-13 15:48:00
42,재무/기획팀,user_b04_finplan_34,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4o-mini,531,602,1133,0.57,2026-01-16 14:29:00
43,인사팀,user_b04_hr_07,교육 만족도 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,94,357,451,0.28,2026-03-16 16:48:00
44,재무/기획팀,user_b04_finplan_28,기능 사용률 지표를 기준으로 다음 달 예상 리스크를 설명해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,615,1022,1637,0.9,2026-08-23 14:10:00
45,고객지원팀,user_b04_cs_05,전환율 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,631,1044,1675,0.92,2026-05-05 14:37:00
46,개발팀,user_b04_dev_30,팀 내 공유용으로 Blob Storage 관련 아이디어를 10개 제안해줘,gpt-4.1-mini,130,324,454,0.35,2026-08-29 14:07:00
47,재무/기획팀,user_b04_finplan_01,팀 내 공유용으로 시장 조사 관련 아이디어를 10개 제안해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4.1-mini,258,450,708,0.5,2026-03-24 13:14:00
48,재무/기획팀,user_b04_finplan_07,서비스 해지 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,275,470,745,0.41,2026-05-11 16:06:00
49,재무/기획팀,user_b04_finplan_21,"사용자 증가율 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,627,1158,1785,1.29,2026-03-01 10:44:00
50,영업팀,user_b04_sales_22,매출 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1,942,892,1834,5.19,2026-02-23 12:48:00
51,인사팀,user_b04_hr_08,2분기 교육 만족도 성과를 경영진 보고용 보고서 형식으로 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,602,661,1263,0.63,2026-01-27 09:34:00
52,영업팀,user_b04_sales_16,"리드 육성 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘",gpt-4o-mini,860,1235,2095,1.12,2026-01-29 14:43:00
