log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,개발팀,user_b02_dev_17,"정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o-mini,982,715,1697,0.77,2026-07-07 10:49:00
2,재무/기획팀,user_b02_finplan_05,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,702,721,1423,0.7,2026-07-10 09:39:00
3,마케팅팀,user_b02_mkt_21,GitHub Actions에서 파일 검증 기능을 구현하는 예시 코드를 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,955,1292,2247,1.18,2026-09-02 09:15:00
4,재무/기획팀,user_b02_finplan_01,데모고객D 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘,gpt-4.1-mini,627,663,1290,0.82,2026-03-05 15:00:00
5,재무/기획팀,user_b02_finplan_01,기능 채택률 성과 데이터를 표로 요약하고 해석해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,511,982,1493,0.84,2026-05-20 17:35:00
6,마케팅팀,user_b02_mkt_18,전환율 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o-mini,1266,799,2065,0.9,2026-03-05 10:56:00
7,개발팀,user_b02_dev_05,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,1361,444,1805,0.67,2026-07-05 15:55:00
8,마케팅팀,user_b02_mkt_01,"클릭률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,455,949,1404,0.81,2026-06-23 13:37:00
9,재무/기획팀,user_b02_finplan_12,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o-mini,945,456,1401,0.57,2026-09-20 10:31:00
10,고객지원팀,user_b02_cs_19,FAQ 구조 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,772,638,1410,0.66,2026-09-26 11:52:00
11,마케팅팀,user_b02_mkt_23,GitHub Actions 용어의 의미와 예시를 간단히 정리해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,232,338,570,0.3,2026-01-18 10:04:00
12,고객지원팀,user_b02_cs_13,팀 내 공유용으로 응답 시간 관련 아이디어를 10개 제안해줘,gpt-4.1,99,390,489,1.81,2026-01-11 11:34:00
13,개발팀,user_b02_dev_26,Django와 SQLAlchemy의 차이를 비교해줘,gpt-4o-mini,141,406,547,0.33,2026-01-22 14:08:00
14,개발팀,user_b02_dev_22,"Azure OpenAI 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o,398,1149,1547,4.55,2026-01-10 17:40:00
15,개발팀,user_b02_dev_14,지난달 Azure OpenAI 성과를 실무자 공유용 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,798,726,1524,0.73,2026-03-02 13:53:00
16,영업팀,user_b02_sales_14,"매출 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘",gpt-4o-mini,576,1091,1667,0.94,2026-07-03 13:31:00
17,영업팀,user_b02_sales_20,Azure OpenAI에서 CSV 업로드 기능을 구현하는 예시 코드를 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4.1-mini,1043,1275,2318,1.53,2026-01-24 16:32:00
18,마케팅팀,user_b02_mkt_21,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o,940,607,1547,3.3,2026-01-15 15:04:00
19,재무/기획팀,user_b02_finplan_16,가상 구독 상품 사용자 고객의 서비스 해지 문의에 대해 정중한 답변을 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,279,704,983,0.58,2026-06-20 16:12:00
20,영업팀,user_b02_sales_23,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4o-mini,1002,740,1742,0.79,2026-08-29 17:24:00
21,마케팅팀,user_b02_mkt_21,팀 내 공유용으로 신제품 캠페인 관련 아이디어를 10개 제안해줘,gpt-4o-mini,286,401,687,0.36,2026-01-29 10:45:00
22,개발팀,user_b02_dev_24,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,640,920,1560,0.83,2026-01-30 16:08:00
23,인사팀,user_b02_hr_10,"인사팀에서 공유할 지원자 수 결과 보고서를 1페이지 분량으로 작성해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o-mini,674,809,1483,0.76,2026-09-28 09:25:00
24,재무/기획팀,user_b02_finplan_19,테스트고객C 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4o-mini,503,608,1111,0.57,2026-09-13 10:34:00
25,고객지원팀,user_b02_cs_18,테스트용으로 대시보드 모듈의 단위 테스트 코드를 만들어줘,gpt-4o,788,1467,2255,6.15,2026-05-25 14:03:00
