log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,영업팀,user_b06_sales_07,"제안서 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4.1,481,923,1404,4.65,2026-03-10 13:21:00
2,마케팅팀,user_b06_mkt_05,테스트용으로 사용량 통계 모듈의 단위 테스트 코드를 만들어줘,gpt-4.1-mini,1003,859,1862,1.13,2026-09-12 11:14:00
3,재무/기획팀,user_b06_finplan_01,"팀 내 공유용으로 서비스 로드맵 관련 아이디어를 10개 제안해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,116,336,452,0.35,2026-05-30 13:28:00
4,재무/기획팀,user_b06_finplan_06,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4.1-mini,1252,720,1972,1.08,2026-07-19 12:09:00
5,마케팅팀,user_b06_mkt_07,최근 4주 캠페인 ROAS 성과를 실무자 공유용 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,476,1206,1682,1.28,2026-01-22 11:55:00
6,재무/기획팀,user_b06_finplan_06,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,867,612,1479,0.66,2026-06-26 17:50:00
7,고객지원팀,user_b06_cs_12,파일 검증 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,694,1249,1943,1.08,2026-02-24 09:52:00
8,재무/기획팀,user_b06_finplan_02,사업 전략의 개념을 비전공자도 이해할 수 있게 설명해줘,gpt-4o-mini,98,366,464,0.29,2026-09-18 14:21:00
9,영업팀,user_b06_sales_10,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o-mini,1266,706,1972,0.83,2026-02-03 15:59:00
10,마케팅팀,user_b06_mkt_19,샘플고객B에게 보낼 후속 안내 메일을 작성해줘,gpt-4o-mini,434,637,1071,0.57,2026-05-29 17:45:00
11,개발팀,user_b06_dev_19,React에서 알림 기능을 구현하는 예시 코드를 작성해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,1044,771,1815,0.82,2026-06-07 16:19:00
