log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,고객지원팀,user_b01_cs_20,고객지원팀에서 공유할 서비스 해지 결과 보고서를 1페이지 분량으로 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1,339,925,1264,4.44,2026-03-10 16:56:00
2,인사팀,user_b01_hr_12,인사팀에서 공유할 채용공고 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4o-mini,412,989,1401,0.82,2026-06-27 10:07:00
3,마케팅팀,user_b01_mkt_32,신제품 캠페인 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,715,834,1549,0.79,2026-01-15 16:30:00
4,인사팀,user_b01_hr_12,알림 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,613,1395,2008,1.17,2026-02-13 13:01:00
5,마케팅팀,user_b01_mkt_29,파일럿 고객 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘,gpt-4o-mini,319,375,694,0.35,2026-02-03 16:08:00
6,고객지원팀,user_b01_cs_23,환불 정책 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o,579,716,1295,3.24,2026-03-06 10:35:00
7,인사팀,user_b01_hr_22,상반기 조직문화 성과를 경영진 보고용 보고서 형식으로 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,525,808,1333,0.72,2026-02-24 11:35:00
8,영업팀,user_b01_sales_19,영업 파이프라인의 개념을 비전공자도 이해할 수 있게 설명해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,375,264,639,0.29,2026-05-06 12:52:00
9,개발팀,user_b01_dev_02,"Python 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘",gpt-4o-mini,499,925,1424,0.8,2026-06-13 13:54:00
10,개발팀,user_b01_dev_18,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,998,530,1528,0.64,2026-01-24 14:36:00
11,고객지원팀,user_b01_cs_16,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,659,1001,1660,0.89,2026-01-25 11:43:00
12,영업팀,user_b01_sales_05,테스트용으로 사용량 통계 모듈의 단위 테스트 코드를 만들어줘,gpt-4o,862,1106,1968,4.97,2026-03-14 12:00:00
13,재무/기획팀,user_b01_finplan_01,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o,1000,604,1604,3.36,2026-08-02 13:00:00
14,고객지원팀,user_b01_cs_15,환불 정책 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4.1-mini,392,967,1359,1.03,2026-01-12 12:01:00
15,고객지원팀,user_b01_cs_31,기능 사용률 지표를 기준으로 다음 달 예상 리스크를 설명해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,519,1019,1538,0.87,2026-04-23 09:01:00
16,마케팅팀,user_b01_mkt_05,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,1061,482,1543,0.79,2026-09-16 13:22:00
17,마케팅팀,user_b01_mkt_06,"고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4.1-mini,280,716,996,0.76,2026-07-03 15:17:00
18,마케팅팀,user_b01_mkt_33,"고객 세그먼트 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,474,1014,1488,0.86,2026-08-28 17:04:00
19,고객지원팀,user_b01_cs_23,"배송 지연 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o-mini,1110,701,1811,0.79,2026-06-23 13:19:00
20,마케팅팀,user_b01_mkt_20,파일럿 고객에게 보낼 후속 안내 메일을 작성해줘,gpt-4.1-mini,559,350,909,0.51,2026-01-03 17:52:00
21,마케팅팀,user_b01_mkt_06,캠페인 ROAS 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4.1,1294,711,2005,4.94,2026-07-04 11:27:00
22,고객지원팀,user_b01_cs_20,이번 주 배송 지연 성과를 임원 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,534,1281,1815,1.37,2026-02-20 13:59:00
23,마케팅팀,user_b01_mkt_24,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4o-mini,396,697,1093,0.61,2026-08-15 12:22:00
24,재무/기획팀,user_b01_finplan_18,테스트용으로 알림 모듈의 단위 테스트 코드를 만들어줘,gpt-4o-mini,1038,1330,2368,1.23,2026-02-15 14:06:00
25,영업팀,user_b01_sales_04,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o,969,583,1552,3.25,2026-05-15 12:14:00
26,재무/기획팀,user_b01_finplan_07,재무/기획팀에서 공유할 기능 채택률 결과 보고서를 1페이지 분량으로 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,749,1194,1943,1.06,2026-04-24 14:21:00
27,재무/기획팀,user_b01_finplan_07,예산 계획 성과 데이터를 표로 요약하고 해석해줘,gpt-4o-mini,976,883,1859,0.89,2026-08-27 11:26:00
28,재무/기획팀,user_b01_finplan_08,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4o,510,1077,1587,4.43,2026-07-18 15:12:00
29,마케팅팀,user_b01_mkt_27,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,893,616,1509,0.87,2026-08-10 11:01:00
